Date,Close,Volume,Open,High,Low
2020-11-06,429.95,21706010,436.1,436.57,424.28
2020-11-05,438.09,28414520,428.3,440.0,424.0001
2020-11-04,420.98,32143060,430.62,435.4,417.1
2020-11-03,423.9,34351720,409.73,427.77,406.69
2020-11-02,400.51,29021120,394.0,406.9799,392.3
2020-10-30,388.04,42587640,406.8954,407.5915,379.11
2020-10-29,410.83,22655310,409.96,418.06,406.46
2020-10-28,406.02,25451410,416.48,418.6,406.0
2020-10-27,424.68,22686510,423.76,430.5,420.1
2020-10-26,420.28,28239160,411.63,425.76,410.0
2020-10-23,420.63,33716980,421.84,422.8859,407.3801
2020-10-22,425.79,39993190,441.92,445.23,424.51
2020-10-21,422.64,32370460,422.7,432.95,421.25
2020-10-20,421.94,31656290,431.75,431.75,419.0501
2020-10-19,430.83,36287840,446.24,447.0,428.87
2020-10-16,439.67,32775880,454.44,455.9499,438.85
2020-10-15,448.88,35672350,450.31,456.57,442.5
2020-10-14,461.3,48045390,449.78,465.9,447.35
2020-10-13,446.65,34463670,443.35,448.89,436.6
2020-10-12,442.3,38791130,442.0,448.74,438.58
2020-10-09,434.0,28925660,430.13,434.5899,426.4601
2020-10-08,425.92,40421120,438.44,439.0,425.3
2020-10-07,425.3,43127710,419.87,429.9,413.845
2020-10-06,413.98,49146260,423.79,428.7799,406.05
2020-10-05,425.68,44722790,423.35,433.64,419.33
2020-10-02,415.09,71430030,421.39,439.13,415.0
2020-10-01,448.16,50741450,440.76,448.88,434.42
2020-09-30,429.01,48145570,421.32,433.93,420.47
2020-09-29,419.07,50341400,416.0,428.5,411.6
2020-09-28,421.2,49719560,424.62,428.08,415.55
2020-09-25,407.34,67208460,393.47,408.7323,391.3
2020-09-24,387.79,96561060,363.8,399.5,351.3
2020-09-23,380.36,95074180,405.16,412.15,375.8801
2020-09-22,424.23,79580800,429.6,437.76,417.6001
2020-09-21,449.39,109476800,453.13,455.68,407.07
2020-09-18,442.15,86406820,447.94,451.0,428.8
2020-09-17,423.43,76779160,415.6,437.79,408.0001
2020-09-16,441.76,72546760,439.87,457.79,435.31
2020-09-15,449.76,97298230,436.56,461.94,430.7
2020-09-14,419.62,83020610,380.95,420.0,373.3
2020-09-11,372.72,60717460,381.94,382.5,360.5
2020-09-10,371.34,84930610,386.21,398.99,360.56
2020-09-09,366.28,79465770,356.6,369.0,341.51
2020-09-08,330.21,115465700,356.0,368.74,329.88
2020-09-04,418.32,110321900,402.81,428.0,372.0201
2020-09-03,407.0,87596090,407.23,431.8,402.0
2020-09-02,447.37,96176130,478.99,479.04,405.1206
2020-09-01,475.05,90119420,502.14,502.49,470.51
2020-08-31,498.32,118374400,444.61,500.14,440.11
2020-08-28,442.68,100405900,459.024,463.69800000000004,437.30400000000003
2020-08-27,447.75,118465200,436.092,459.12,428.5
2020-08-26,430.63,71196900,412.0,433.2,410.7258
2020-08-25,404.67,53294450,394.978,405.59,393.6
2020-08-24,402.84,100318100,425.255,425.8,385.504
2020-08-21,410.0,107447800,408.952,419.098,405.01
2020-08-20,400.37,103059000,372.13599999999997,404.398,371.412
2020-08-19,375.71,61026650,373.0,382.2,368.24199999999996
2020-08-18,377.42,82372450,379.798,384.78,369.022
2020-08-17,367.13,101211600,335.4,369.17199999999997,334.566
2020-08-14,330.14,62888050,332.99800000000005,333.76,325.328
2020-08-13,324.2,102126550,322.2,330.236,313.452
2020-08-12,310.95,109494150,294.0,317.0,287.0
2020-08-11,274.88,43129170,279.2,284.0,273.0
2020-08-10,283.71,37611320,289.6,291.5,277.168
2020-08-07,290.54,44482100,299.9074,299.95,283.002
2020-08-06,297.92,29961565,298.166,303.462,295.452
2020-08-05,297.0,24890075,298.598,299.9677,293.66200000000003
2020-08-04,297.4,42074950,299.002,305.482,292.4
2020-08-03,297.0,44046730,289.84,301.962,288.8769
2020-07-31,286.15,61234800,303.0,303.41,284.19599999999997
2020-07-30,297.5,38105195,297.6,302.64799999999997,294.2
2020-07-29,299.82,47134465,300.2,306.962,297.4
2020-07-28,295.3,79043500,300.8,312.94,294.884
2020-07-27,307.92,80243350,287.0,309.58799999999997,282.6001
2020-07-24,283.4,96983100,283.202,293.0,273.308
2020-07-23,302.61,121642500,335.79,337.8,296.154
2020-07-22,318.47,70805400,319.8,325.284,312.4
2020-07-21,313.67,80786400,327.986,335.0,311.6
2020-07-20,328.6,85606850,303.802,330.0,297.6
2020-07-17,300.17,46649860,302.69,307.502,298.0
2020-07-16,300.13,71503950,295.432,306.342,293.2
2020-07-15,309.2,81839150,308.6,310.0,291.4
2020-07-14,303.36,117090700,311.2,318.0,286.2
2020-07-13,299.41,194926800,331.8,358.99800000000005,294.222
2020-07-10,308.93,116687750,279.2,309.783,275.202
2020-07-09,278.86,58588000,279.39799999999997,281.712,270.256
2020-07-08,273.18,81556550,281.0,283.452,262.268
2020-07-07,277.97,107448300,281.002,285.9,267.342
2020-07-06,274.32,102849300,255.338,275.558,253.2088
2020-07-02,241.73,86250600,244.296,245.6,237.12
2020-07-01,223.93,66634500,216.6,227.06599999999997,216.1
2020-06-30,215.96,84592500,201.3,217.53799999999998,200.74599999999998
2020-06-29,201.87,45132020,193.80200000000002,202.0,189.704
2020-06-26,191.95,44274540,198.956,199.0,190.97400000000002
2020-06-25,197.2,46272745,190.854,197.196,187.43
2020-06-24,192.17,54797950,198.822,200.1769,190.6283
2020-06-23,200.36,31826355,199.77599999999998,202.4,198.80200000000002
2020-06-22,198.86,31811750,199.99,201.77599999999998,198.00400000000002
2020-06-19,200.18,43398745,202.55599999999998,203.19400000000002,198.268
2020-06-18,200.79,48759680,200.6,203.84,198.8942
2020-06-17,198.36,49454000,197.542,201.0,196.5142
2020-06-16,196.43,70255400,202.37,202.576,192.47799999999998
2020-06-15,198.18,78485900,183.558,199.768,181.7
2020-06-12,187.06,83816850,196.0,197.59599999999998,182.52
2020-06-11,194.57,79582400,198.04,203.792,194.4
2020-06-10,205.01,92817050,198.37599999999998,205.49599999999998,196.5
2020-06-09,188.13,56940750,188.002,190.888,184.7862
2020-06-08,189.98,70873650,183.8,190.0,181.832
2020-06-05,177.13,39059585,175.56799999999998,177.304,173.24
2020-06-04,172.88,44438565,177.976,179.15,171.688
2020-06-03,176.59,39747345,177.62400000000002,179.588,176.02
2020-06-02,176.31,67828000,178.94,181.732,174.2
2020-06-01,179.62,75426500,171.6,179.8,170.82
2020-05-29,167.0,59062450,161.75,167.0,160.842
2020-05-28,161.16,36378870,162.702,164.95,160.338
2020-05-27,164.05,57747650,164.172,165.542,157.0
2020-05-26,163.77,40448680,166.9,166.92,163.141
2020-05-22,163.38,49937375,164.4348,166.356,162.4
2020-05-21,165.52,61272900,163.2,166.5,159.2
2020-05-20,163.11,36546355,164.1,165.2,162.36
2020-05-19,161.6,48182610,163.034,164.41400000000002,161.216
2020-05-18,162.73,58490500,165.55599999999998,166.94400000000002,160.776
2020-05-15,159.83,52592150,158.07,161.0097,157.3104
2020-05-14,160.67,68410950,156.0,160.672,152.8
2020-05-13,158.19,95327450,164.166,165.2,152.66
2020-05-12,161.88,79534550,165.4,168.658,161.6
2020-05-11,162.26,82598000,158.102,164.8,157.0
2020-05-08,163.88,80650450,158.754,164.8,157.40200000000002
2020-05-07,156.01,57638450,155.442,159.28,154.47
2020-05-06,156.52,55616150,155.3,157.96,152.222
2020-05-05,153.64,84958300,157.958,159.784,152.436
2020-05-04,152.24,96185450,140.2,152.4,139.6
2020-05-01,140.26,162659050,151.0,154.554,136.608
2020-04-30,156.38,142359250,171.03799999999998,173.96400000000003,152.7
2020-04-29,160.1,81079900,158.034,160.64,156.632
2020-04-28,153.82,76109800,159.128,161.0,151.338
2020-04-27,159.75,103407200,147.52200000000002,159.898,147.0
2020-04-24,145.03,66188050,142.162,146.14600000000002,139.636
2020-04-23,141.13,66183500,145.52,146.8,140.626
2020-04-22,146.42,71124150,140.796,146.8,137.74200000000002
2020-04-21,137.34,101045450,146.024,150.666,134.75799999999998
2020-04-20,149.27,73731850,146.54,153.114,142.442
2020-04-17,150.78,65641150,154.45600000000002,154.99,149.532
2020-04-16,149.04,103289300,143.388,151.89,141.343
2020-04-15,145.97,117885000,148.4,150.626,142.0
2020-04-14,141.98,152882550,139.79399999999998,148.376,138.486
2020-04-13,130.19,112377100,118.03200000000001,130.4,116.10600000000001
2020-04-09,114.6,68250000,112.41799999999999,115.0364,111.42200000000001
2020-04-08,109.77,63280100,110.84,111.4416,106.666
2020-04-07,109.09,89598900,109.0,113.0,106.46799999999999
2020-04-06,103.25,74509200,102.24,104.2,99.59200000000001
2020-04-03,96.0,112810400,101.9,103.098,93.678
2020-04-02,90.89,99292150,96.206,98.852,89.28
2020-04-01,96.31,66765900,100.8,102.791,95.02
2020-03-31,104.8,88857450,100.25,108.59200000000001,99.4
2020-03-30,100.43,59990350,102.052,103.3294,98.24600000000001
2020-03-27,102.87,71887050,101.0,105.16,98.806
2020-03-26,105.63,87110400,109.478,112.0,102.45
2020-03-25,107.85,106113750,109.05,111.4,102.22200000000001
2020-03-24,101.0,114475850,95.46,102.738,94.8
2020-03-23,86.86,82272750,86.72,88.4,82.1
2020-03-20,85.51,141427500,87.64,95.4,85.15799999999999
2020-03-19,85.53,150977300,74.9394,90.4,71.692
2020-03-18,72.24,118930800,77.8,80.972,70.102
2020-03-17,86.04,119972900,88.00200000000001,94.37,79.2
2020-03-16,89.01,102447300,93.8999,98.97399999999999,88.434
2020-03-13,109.32,113201250,119.0,121.514,100.4
2020-03-12,112.11,94545250,116.178,118.9,109.25
2020-03-11,126.85,67067950,128.04,130.716,122.6
2020-03-10,129.07,77972200,131.886,133.6,121.6
