,Dates,Text,Link
0,"Nov 7, 2020 7:10AM EST","Most stocks tend to ebb and flow with the business cycle, but some of the best growth stocks are the companies that are set up well to ride multiyear trends and take advantage of changing conditions.It's usually tech stocks that are front-of-mind when investors think of companies that are able to ride the wave of change, but there are times when stodgy old industrials have the opportunity to jump on an unstoppable trend.Here's why we believe XPO Logistics (NYSE: XPO), NIO (NYSE: NIO), and General Dynamics (NYSE: GD) are three stocks that are well positioned to take advantage of long-term trends.Image source: Getty Images.Lou Whiteman (XPO Logistics): E-commerce had been taking an ever-growing piece of the total retail spending pie even prior to the pandemic, but COVID-19 has only accelerated the trend. More than $200 billion was spent on U.S. retail e-commerce sales in the second quarter alone, according to U.S. Census Bureau data, a 31.8% increase from the prior quarter.Still, e-commerce represented just 16% of total retail sales in the quarter. Growth might slow some once the pandemic is over, but retail seems destined to continue to move toward online sales, and that is going to create a need for a lot of warehousing and shipping capacity.XPO Logistics is well positioned to soak up a lot of that increased shipping demand. The company's XPO Direct service is a tech-fueled platform designed to help retailers better compete with the scale of Amazon by providing a suite of logistics products. The company expects Direct to be a $1 billion sales business by 2022, with opportunities for further growth from there.XPO flexed its e-commerce muscle in the recently completed third quarter, delivering results that easily outpaced expectations thanks to strong growth in last-mile delivery and supply chain management. Post-pandemic it seems likely that many retailers will look to outsource more of their warehouse and fulfillment operations instead of taking on the hassles in house, offering new opportunities for companies like XPO.E-commerce was a super-trend even before the pandemic, and XPO offers a lot of reasons for investors to get excited. COVID-19 has only emphasized the importance of online retail, and the shipping capacity needed to make it work. The growth will continue well past 2020.John Rosevear (NIO): NIO's stock has surged in 2020 as the company has gone from a near-broke start-up trying to survive to a stable, fast-growing automaker with big plans and ample cash to fund them. But that might just be the beginning of an impressive long-term growth story.  NIO's in an interesting spot. The market for electric vehicles in China is expected to absolutely boom over the next decade, and it's already seen as a leading up-and-coming ""cool"" brand. Deliveries of NIO's latest model, the sporty EC6 crossover, began in late September. Demand has been brisk. Image source: NIO.While NIO isn't the largest maker of EVs in China -- and probably won't be -- its upscale, tech-stuffed vehicles exist in a sweet spot of the market, where customers are willing to pay up for features and stying that NIO has so far been able to deliver. That upscale focus (and growing credibility with upscale consumers) means its chances of getting to profitability, and of having good margins after that, are quite strong. NIO will report its third-quarter results on Nov. 17. They should be quite good: Sales jumped over 150% in the third quarter, and the company now has plenty of cash in the bank after a series of funding rounds earlier in the year. I expect that CEO William Bin Li will share details about the next phase of the company's growth plan during the earnings call, and those could be a near-term catalyst for the stock. It's true that the stock looks expensive given NIO's current level of revenue. But if you think of NIO as a home-grown Chinese alternative to Tesla, which is an increasingly plausible way to describe the company, then the company's top line -- and its stock price -- could have a lot more upside from here. Rich Smith (General Dynamics): Last week I made the case for Huntington Ingalls being a good stock to invest in no matter who wins the U.S. presidential election. Because the U.S. Navy sits well below the 355 ships we need at a minimum to maintain adequate military presence in seas all around the world, it seems to me that the future will be very bright for anyone building warships for the Navy.Today, I still believe this. But since I've already explained why I think Huntington Ingalls is a good way to play that trend, today I'll turn my attention to Huntington's greatest rival in the defense industry: General Dynamics.Like Huntington Ingalls, General Dynamics does a lot of business building warships for the Navy. But unlike Huntington, GD is a more diversified player, also building tanks and armored personnel carriers for the Army, for example, and business jets for the civilian market. For risk-averse investors, this diversification is attractive -- but I think the core military shipbuilding business is still the most attractive aspect of General Dynamics, as the U.S. rivalry with China continues to grow.With luck, this rivalry will never come to an actual shooting war, but even if it doesn't, the U.S. Navy still needs to build a huge number of ships just to avoid inviting challenges at sea. Already, the Chinese navy has overtaken the U.S. Navy in size, and with China looking to double the size of its destroyer fleet by 2025, the disparity is getting bigger, not smaller.  Because of this, I see little to no chance of the Navy's budget being cut -- but rather see it growing over time, to the benefit of General Dynamics. With the stock now down 21% over the last 52 weeks, and trading at a cheap 12 times earnings and just one times sales, General Dynamics stock has finally become cheap enough to buy.10 stocks we like better than NIO Inc.When investing geniuses David and Tom Gardner have a stock tip, it can pay to listen. After all, the newsletter they have run for over a decade, Motley Fool Stock Advisor, has tripled the market.*David and Tom just revealed what they believe are the ten best stocks for investors to buy right now... and NIO Inc. wasn't one of them! That's right -- they think these 10 stocks are even better buys.See the 10 stocks *Stock Advisor returns as of October 20, 2020 John Mackey, CEO of Whole Foods Market, an Amazon subsidiary, is a member of The Motley Fool's board of directors. John Rosevear owns shares of Amazon. Lou Whiteman owns shares of General Dynamics and XPO Logistics. Rich Smith has no position in any of the stocks mentioned. The Motley Fool owns shares of and recommends Amazon and Tesla. The Motley Fool recommends XPO Logistics and recommends the following options: short January 2022 $1940 calls on Amazon and long January 2022 $1920 calls on Amazon. The Motley Fool has a disclosure policy.The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.","https://www.nasdaq.com/articles/got-%243000-buy-these-3-stocks-riding-unstoppable-trends-2020-11-07
"
1,"Nov 6, 2020 10:54AM EST","Looking at units outstanding versus one week prior within the universe of ETFs covered at ETF Channel, the biggest outflow was seen in the PJAN ETF, where 4,925,000 units were destroyed, or a 33.2% decrease week over week.  

And on a percentage change basis, the ETF with the biggest outflow was the ProShares Ultra Consumer Goods, which lost 100,000 of its units, representing a 40.0% decline in outstanding units compared to the week prior. Among the largest underlying components of UGE, in morning trading today Procter & Gamble is up about 0.7%, and Tesla is lower by about 1.9%. 

 The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.","https://www.nasdaq.com/articles/pjan-uge%3A-big-etf-outflows-2020-11-06
"
2,"Nov 6, 2020 10:52AM EST","Looking today at week-over-week shares outstanding changes among the universe of ETFs covered at ETF Channel, one standout is the iShares ESG Aware MSCI USA ETF (Symbol: ESGU) where we have detected an approximate $155.9 million dollar inflow -- that's a 1.4% increase week over week in outstanding units (from 140,000,000 to 141,950,000).  Among the largest underlying components of ESGU, in trading today Procter & Gamble Company  (Symbol: PG) is up about 0.7%, NVIDIA Corp (Symbol: NVDA) is up about 0.6%, and Tesla Inc (Symbol: TSLA) is lower by about 1.9%. For a complete list of holdings, visit the ESGU Holdings page » 

The chart below shows the one year price performance of ESGU, versus its 200 day moving average:
   



Looking at the chart above, ESGU's low point in its 52 week range is $49.12 per share, with $81.70 as the 52 week high point — that compares with a last trade of $79.92.  Comparing the most recent share price to the 200 day moving average can also be a useful technical analysis technique -- learn more about the 200 day moving average ».




		


Exchange traded funds (ETFs) trade just like stocks, but instead of ''shares'' investors are actually buying and selling ''units''.  These ''units'' can be traded back and forth just like stocks, but can also be created or destroyed to accommodate investor demand.  Each week we monitor the week-over-week change in shares outstanding data, to keep a lookout for those ETFs experiencing notable inflows (many new units created) or outflows (many old units destroyed).  Creation of new units will mean the underlying holdings of the ETF need to be purchased, while destruction of units involves selling underlying holdings, so large flows can also impact the individual components held within ETFs.


Click here to find out which 9 other ETFs had notable inflows »
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.","https://www.nasdaq.com/articles/esgu-pg-nvda-tsla%3A-large-inflows-detected-at-etf-2020-11-06
"
3,"Nov 6, 2020 10:25AM EST","In early trading on Friday, shares of T-Mobile topped the list of the day's best performing components of the Nasdaq 100 index, trading up 5.9%.  Year to date, T-Mobile registers a 58.4% gain.

And the worst performing Nasdaq 100 component thus far on the day is Electronic Arts, trading down 10.3%.  Electronic Arts, is showing a gain of 7.1% looking at the year to date performance.

Two other components making moves today are Tesla, trading down 2.9%, and Microchip Technology, trading up 3.2% on the day.

 The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.","https://www.nasdaq.com/articles/nasdaq-100-movers%3A-ea-tmus-2020-11-06
"
4,"Nov 6, 2020 9:41AM EST","In the pantheon of exchange traded funds, one that is indeed growing as the industry evolves, there are lots of great stays, but a far smaller amount of legends.For the purposes of this conversation, I'll classify a legendary ETF has one that has $100 billion or more in assets under management, a status currently sported by just five ETFs, one of which is the Invesco QQQ (QQQ).QQQ, which tracks the famed Nasdaq-100 Index and turns 22 years old in March, has more than $131.1 billion in assets under management, an advantage of $50 billion over the sixth-largest ETF. Beyond heft, QQQ and the Nasdaq-100 are legends for more important reasons, not the least of which is sheer performance.Between Dec. 31, 2007 and June 30, 2020, the Nasdaq-100 Total Return (TR) Index, which accounts for reinvested dividends, returned a staggering 456 percent compared to 175 percent for the S&P 500 TR. The Nasdaq benchmark's average annualized returns were 630 basis points superior to those offered by the S&P 500 with comparable volatility.Talking about QQQ is a good segue to getting acquainted with one of its new stablemates, the Invesco NASDAQ Next Gen 100 Fund (QQQJ).Nearly a month old, QQQJ tracks the NASDAQ Next Generation 100 Index, a benchmark that's essentially a proving ground for admission to the aforementioned Nasdaq-100. This is a strategy ETF issuers are finding success with one introducing a fund earlier this year focusing on the “next 50” or the 50 stocks closest to entry into QQQ and the Nasdaq-100.For its part, QQQJ is finding swift success. At less than a month old, it has nearly $136 million in assets under management, making it one of the stars of this year's crop of new equity-based ETFs while confirming the cache of being related to QQQ.The NASDAQ Next Generation 100 Index, QQQJ's underlying benchmark, is a new index, having debuted in August and while backtesting isn't always flawless, it does turn up some positives in the case of index. Backtesting QQQJ's index to Dec. 17, 2010 through Sept. 30, 2020 indicates returns of 271 percent compared to 209 percent for the Russell Mid Cap Growth Index and 106 percent for the S&P MidCap 400 Index, respectively.Comparing QQQJ to mid-cap ETFs and indexes is relevant because many of the fund's components are classified as mid caps are smaller large caps. For example, the fund's largest holding is cloud computing name Okta, Inc. (OKTA), which has a market capitalization of $30.50 billion (as of Nov. 5), putting it at the smaller end of large-cap territory.One of the primary factors in QQQ's success is the Nasdaq-100 historically featuring larger weights to truly disruptive, innovative companies than are found in rival domestic equity benchmarks. As just one example, Tesla (TSLA) is the seventh-largest holding in the Nasdaq-100 at a weight of almost 3.30 percent while it still isn't included in the S&P 500.The tradition of providing exposure to innovative names continues in QQQJ. Data confirms as much, For example, QQQJ components are likely to allocate two or three times more of their revenue to research and development than companies in traditional in mid-cap indexes.“Patent exposure metrics better than midcap benchmarks as well, with 38% of index constituents registering patent activity in one or more Disruptive Tech sub-themes over a recent 12-month period,” according to Nasdaq Research. “Not only are NGX constituents more likely to file patents than midcap benchmark peers, they also tend to file them in more areas of innovation, on average 3.7 sub-themes per active company.”Bottom line: QQQJ may live in QQQ's shadow for awhile, but it has the potential to overshadow more prosaic approaches to mid-cap stocks.The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.","https://www.nasdaq.com/articles/big-shoes-to-fill-but-this-new-etf-has-the-goods-2020-11-06
"
5,"Nov 6, 2020 7:23AM EST","Adds background and details on productNov 6 (Reuters) - Tesla Inc TSLA.O Chief Executive Officer Elon Musk made good on his promise to sell ""Tesla Tequila"" - two years after teasing the plan in a tweet, and the $250 bottles quickly flew off the virtual shelf.Pictures revealed a sleek, lightning bolt-shaped bottle, a lot different than what Musk teased when he touted the Tequila.The Silicon Valley billionaire is no stranger to selling quirky products in limited one-time sales.He sold flamethrowers at $500 a piece in early 2018, raising $10 million for his high-speed tunnel venture The Boring Company. Musk has also sold 50,000 Boring Company hats previously.He tweeted the idea of 'Teslaquila' on April Fool's day in 2018, which many of his followers considered to be a joke. However, Musk's efforts to trademark the drink in October of that year were frowned upon by Mexico's tequila producers. (https://reut.rs/2TZW5Wk)Mexico's Tequila Regulatory Council had at the time argued the ""name 'Teslaquila' evokes the word Tequila ... (and) Tequila is a protected word.""According to the website, Tesla Tequila will be available only in selected U.S. states, including New York, California and Washington.The website describes the drink, produced by Nosotros Tequila, as agave tequila añejo aged in French oak barrels, ""featuring a dry fruit and light vanilla nose with a balanced cinnamon pepper finish.""(Reporting by Maria Ponnezhath and Munsif Vengattil; Editing by Krishna Chandra Eluri, Bernard Orr and Saumyadeb Chakrabarty)((Maria.Ponnezhath@thomsonreuters.com; +91 8061822749;))The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.","https://www.nasdaq.com/articles/tesla-launches-%24250-tequila-runs-out-in-hours-2020-11-06
"
6,"Nov 6, 2020 3:54AM EST","Nov 6 (Reuters) - Tesla Inc TSLA.O Chief Executive Officer Elon Musk finally made good on his promise to sell ""Tesla Tequila"" - two years after teasing the effort in a tweet, and the $250 bottle quickly flew off the virtual shelf.The agave-based liquor, which was touted as ""Teslaquila"" two years ago, was currently out of stock on the company's website. Pictures revealed a sleek, lightning bolt-designed bottle, a lot different than what Musk imagined when he touted the Tequila.Musk tweeted the idea of 'Teslaquila' on April Fool's day in 2018, which many of his followers thought was a joke. However, his efforts to trademark the drink in October of that year were frowned upon by Mexico's tequila producers. (https://reut.rs/2TZW5Wk)Mexico's Tequila Regulatory Council had at the time argued the ""name 'Teslaquila' evokes the word Tequila ... (and) Tequila is a protected word.""According to the website, Tesla Tequila will be available only in selected U.S. states, including New York, California and Washington.(Reporting by Maria Ponnezhath in Bengaluru; Editing by Krishna Chandra Eluri and Bernard Orr)((Maria.Ponnezhath@thomsonreuters.com; +91 8061822749;))The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.","https://www.nasdaq.com/articles/tesla-unveils-tesla-tequila-for-%24250-product-sold-out-on-website-2020-11-06
"
7,"Nov 6, 2020 2:33AM EST","Adds quotes, PIX slugSHANGHAI, Nov 6 (Reuters) - Pony.ai, backed by Toyota Motor Corp 7203.T, said on Friday it has raised $267 million in the initial phase of its fundraising round that values the self-driving startup at $5.3 billion, as it seeks to boost its presence in the United States and China.The latest funding, which comes just eight months after the company's $462 million fundraising, makes Pony.ai one of the most valuable independent autonomous driving startups, with higher valuation than rivals Aurora and Nuro, according to data provider Pitchbook.The investment comes at a time when global automakers, technology firms, startups and investors - including Tesla TSLA.O, Alphabet Inc's GOOGL.O Waymo and Uber UBER.N - are pouring capital into developing self-driving vehicles.The funding was led by Ontario Teachers' Pension Plan Board's (Ontario Teachers') Teachers' Innovation Platform (OTPP), Pony.ai said in a statement.""The company will explore mobility services with Toyota,""  Chief Executive James Peng said, without disclosing further details.Fremont-based Pony.ai, which is also backed by Sequoia Capital China and Beijing Kunlun Tech Co 300418.SZ, plans to use the funding to develop technology and expand its fleet.Pony.ai started developing its autonomous truck technologies by early 2019, Peng told Reuters.The company tests its vehicles in Fremont, Irvine, and in Chinese cities of Guangzhou and Beijing and also recently launched an operation site in Shanghai.The firm is showcasing its autonomous Lexus sport-utility vehicle and an FAW's truck at the China International Import Expo, or CIIE, an annual import show in Shanghai that started on Wednesday and runs into the next week.Pony.ai also recently received investment from state-owned automaker FAW Group SASACJ.UL and will jointly develop autonomous cars and trucks.(Reporting by Yilei Sun and Brenda Goh, Editing by Sherry Jacob-Phillips)((Y.Sun@thomsonreuters.com; +86 10 66271262; Reuters Messaging: y.sun.thomsonreuters.com@reuters.net))The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.","https://www.nasdaq.com/articles/toyota-backed-startup-pony.ai-raises-%24267-mln-in-latest-fundraising-2020-11-06
"
8,"Nov 6, 2020 2:00AM EST","SHANGHAI, Nov 6 (Reuters) - Pony.ai, backed by Toyota Motor Corp 7203.T, said on Friday it raised $267 million in the initial phase of its latest funding round at $5.3 billion valuation, as the self-driving startup seeks to boost its presence in the United States and China.The latest funding, which comes just eight months after the company's $462 million fundraising, makes Pony.ai one of the most valuable independent autonomous driving startups, with higher valuation than rivals Aurora and Nuro, according to data provider Pitchbook.The investment comes at a time when global automakers, technology firms, startups and investors - including Tesla TSLA.O, Alphabet Inc's GOOGL.O Waymo and Uber UBER.N - are pouring capital into developing self-driving vehicles.The funding was led by Ontario Teachers' Pension Plan Board's (Ontario Teachers') Teachers' Innovation Platform (OTPP), Pony.ai said in a statement.Fremont-based Pony.ai, which is also backed by Sequoia Capital China and Beijing Kunlun Tech Co 300418.SZ, plans to use the funding to develop technology and expand its fleet.Pony.ai started developing its autonomous truck technologies by early 2019, Chief Executive James Peng told Reuters.The company tests its vehicles in Fremont, Irvine, and in Chinese cities of Guangzhou and Beijing and also recently launched an operation site in Shanghai.The firm is showcasing its autonomous Lexus sport-utility vehicle and an FAW's truck at the China International Import Expo, or CIIE, an annual import show in Shanghai that started on Wednesday and runs into the next week.Pony.ai also recently received investment from state-owned automaker FAW Group SASACJ.UL and will jointly develop autonomous cars and trucks.(Reporting by Yilei Sun and Brenda Goh, Editing by Sherry Jacob-Phillips)((Y.Sun@thomsonreuters.com; +86 10 66271262; Reuters Messaging: y.sun.thomsonreuters.com@reuters.net))The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.","https://www.nasdaq.com/articles/toyota-backed-startup-pony.ai-raises-%24267-mln-in-new-funding-round-2020-11-06
"
9,"Nov 5, 2020 8:00PM EST","By Yilei Sun and Brenda GohSHANGHAI, Nov 6 (Reuters) - General Motors Co GM.N plans to sell full-size sport-utility vehicle (SUV) models in China for the first time, and will import a range of models to beef up its product lineup into the world's biggest car market, its China chief told Reuters.The plan would mark a change of tack for GM, which currently produces all of the vehicles it sells in China within the country, which is set to be the only major economy to grow this year amid the COVID-19 pandemic.GM, China's second-biggest foreign automaker, is aiming to offer four models as it looks to improve its brand image and support a sales recovery: Chevrolet's Tahoe and Suburban, Cadillac's Escalade and the GMC Yukon Denali.The Detroit-based company is showcasing those models at the China International Import Expo, or CIIE, an annual import show in Shanghai which started on Wednesday and runs into next week.""Our intention is to get customer reaction and find a way to sell these cars in China,"" said GM's China chief Julian Blissett.The automaker sees opportunities for such vehicles, partly because Chinese families are expanding, he added.""We are looking into a variety of market sales plans for these vehicles, including online sales, leasing and others,"" he said, declining to give a detailed timeframe for the plan.GM's Buick and Cadillac mid-size SUVs helped the group's Chinese sales grow 12% in the third quarter this year, the first quarterly growth in the past two years.But it does not have full-size SUV models, which usually have a third row of seats and has room for six or seven people. China, where over 25 million vehicles were sold last year, is a crucial battleground for global automakers including Volkswagen AG VOWG_p.DE, the biggest foreign player by sales volumes, GM and Toyota 7203.T as well as local leaders Geely 0175.HK and Great Wall 601633.SS.The country has seen an auto sales pick up in recent months following a COVID-19-induced slump, and authorities say they have largely brought the epidemic under control following its emergence in the central city of Wuhan at the end of last year.The expansion plan would also mark GM's first official sales in China of GMC vehicles, a premium brand in the group. Previously GMC vehicles were only sold in the country via unofficial grey importers.The imports will, however, not change GM's basic production strategy in China. It will still mostly sell vehicles made in China - for now, at least.""Depending on however we go we might make other decisions,"" Blissett said.GM has a Shanghai-based joint venture with SAIC Motor Corp Ltd 600104.SS making Buick, Chevrolet and Cadillac vehicles. It has another venture, SGMW, with SAIC and Guangxi Automobile Group, producing no-frills mini-vans, which has started manufacturing higher-end cars.Blissett said GM expected ""a strong November and December"" in China after positive October sales. The carmaker is also considering exporting China-made electric vehicles globally, he told Reuters.The company's rivals, from Tesla Inc TSLA.O to BMW BMWG.DE, are among a growing number of automakers using China as an export hub for electric vehicles.(Reporting by Yilei Sun and Brenda Goh; Editing by Pravin Char)((Y.Sun@thomsonreuters.com; +86 10 66271262; Reuters Messaging: y.sun.thomsonreuters.com@reuters.net))The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.","https://www.nasdaq.com/articles/exclusive-gm-thinks-bigger-in-china-with-plan-to-import-full-size-suvs-2020-11-05
"
